2018-08-01 06:57:36 | NOTICE | 1974 | 5b6159b5b2c82 | 1533106656.763 | main loop{"price":421.24339999999995,"p":0.893088147547371,"btc":"4.7898377974281000","usdt":"241.5760330280000000","vol":0.30011999999999994}
2018-08-01 06:57:36 | INFO | 1974 | 5b6159b5b2c82 | 1533106656.766 | 开始根据真实数据进行模拟交易,假定挂单立即成交["421.9000000000000000",0.04,"ASK"]
2018-08-01 06:57:36 | INFO | 1974 | 5b6159b5b2c82 | 1533106656.768 | 开始根据真实数据进行模拟交易,假定挂单立即成交[421.899,0.04,"ASK"]
2018-08-01 06:57:36 | INFO | 1974 | 5b6159b5b2c82 | 1533106656.770 | 开始根据真实数据进行模拟交易,假定挂单立即成交[421.89799999999997,0.04,"ASK"]
2018-08-01 06:57:39 | INFO | 1974 | 5b6159b5b2c82 | 1533106659.140 | accounts 调用成功 null
2018-08-01 06:57:40 | INFO | 1974 | 5b6159b5b2c82 | 1533106660.833 | ordersCancel 调用成功 109006100
2018-08-01 06:57:40 | INFO | 1974 | 5b6159b5b2c82 | 1533106660.833 | 取消订单完成{"data":{"updated_at":"2018-07-30T12:35:18Z","state":"CANCELED","side":"BID","price":"10.0000000000000000","market_uuid":"2dab8bcf-cfdd-496b-8181-d670568d1daa","market_id":"ETH-USDT","inserted_at":"2018-07-30T12:28:05Z","id":"109006100","filled_amount":"0E-16","avg_deal_price":"0E-16","amount":"1.0000000000000000"}}
2018-08-01 06:57:42 | INFO | 1974 | 5b6159b5b2c82 | 1533106662.370 | ordersCancel 调用成功 109006100
2018-08-01 06:57:42 | INFO | 1974 | 5b6159b5b2c82 | 1533106662.370 | 取消订单完成{"data":{"updated_at":"2018-07-30T12:35:18Z","state":"CANCELED","side":"BID","price":"10.0000000000000000","market_uuid":"2dab8bcf-cfdd-496b-8181-d670568d1daa","market_id":"ETH-USDT","inserted_at":"2018-07-30T12:28:05Z","id":"109006100","filled_amount":"0E-16","avg_deal_price":"0E-16","amount":"1.0000000000000000"}}
2018-08-01 06:57:43 | INFO | 1974 | 5b6159b5b2c82 | 1533106663.642 | ordersCancel 调用成功 109006100
2018-08-01 06:57:43 | INFO | 1974 | 5b6159b5b2c82 | 1533106663.643 | 取消订单完成{"data":{"updated_at":"2018-07-30T12:35:18Z","state":"CANCELED","side":"BID","price":"10.0000000000000000","market_uuid":"2dab8bcf-cfdd-496b-8181-d670568d1daa","market_id":"ETH-USDT","inserted_at":"2018-07-30T12:28:05Z","id":"109006100","filled_amount":"0E-16","avg_deal_price":"0E-16","amount":"1.0000000000000000"}}
2018-08-01 06:57:44 | INFO | 1974 | 5b6159b5b2c82 | 1533106664.880 | tradesMarket 调用成功 ["ETH-USDT",2]
2018-08-01 06:57:46 | INFO | 1974 | 5b6159b5b2c82 | 1533106666.920 | depth 调用成功 "ETH-USDT"
2018-08-01 06:57:46 | NOTICE | 1974 | 5b6159b5b2c82 | 1533106666.927 | main loop{"price":421.29724999999996,"p":0.8930731084876212,"btc":"4.7898377974281000","usdt":"241.5760330280000000","vol":0.30011999999999994}
2018-08-01 06:57:46 | INFO | 1974 | 5b6159b5b2c82 | 1533106666.932 | 开始根据真实数据进行模拟交易,假定挂单立即成交["421.9000000000000000",0.04,"ASK"]
2018-08-01 06:57:46 | INFO | 1974 | 5b6159b5b2c82 | 1533106666.935 | 开始根据真实数据进行模拟交易,假定挂单立即成交[421.899,0.04,"ASK"]
2018-08-01 06:57:46 | INFO | 1974 | 5b6159b5b2c82 | 1533106666.936 | 开始根据真实数据进行模拟交易,假定挂单立即成交[421.89799999999997,0.04,"ASK"]
2018-08-01 06:57:48 | INFO | 1974 | 5b6159b5b2c82 | 1533106668.763 | accounts 调用成功 null
2018-08-01 06:57:50 | INFO | 1974 | 5b6159b5b2c82 | 1533106670.452 | ordersCancel 调用成功 109006100
2018-08-01 06:57:50 | INFO | 1974 | 5b6159b5b2c82 | 1533106670.453 | 取消订单完成{"data":{"updated_at":"2018-07-30T12:35:18Z","state":"CANCELED","side":"BID","price":"10.0000000000000000","market_uuid":"2dab8bcf-cfdd-496b-8181-d670568d1daa","market_id":"ETH-USDT","inserted_at":"2018-07-30T12:28:05Z","id":"109006100","filled_amount":"0E-16","avg_deal_price":"0E-16","amount":"1.0000000000000000"}}
2018-08-01 06:57:54 | INFO | 1974 | 5b6159b5b2c82 | 1533106674.47 | ordersCancel 调用成功 109006100
2018-08-01 06:57:54 | INFO | 1974 | 5b6159b5b2c82 | 1533106674.47 | 取消订单完成{"data":{"updated_at":"2018-07-30T12:35:18Z","state":"CANCELED","side":"BID","price":"10.0000000000000000","market_uuid":"2dab8bcf-cfdd-496b-8181-d670568d1daa","market_id":"ETH-USDT","inserted_at":"2018-07-30T12:28:05Z","id":"109006100","filled_amount":"0E-16","avg_deal_price":"0E-16","amount":"1.0000000000000000"}}
2018-08-01 06:57:56 | INFO | 1974 | 5b6159b5b2c82 | 1533106676.132 | ordersCancel 调用成功 109006100
2018-08-01 06:57:56 | INFO | 1974 | 5b6159b5b2c82 | 1533106676.133 | 取消订单完成{"data":{"updated_at":"2018-07-30T12:35:18Z","state":"CANCELED","side":"BID","price":"10.0000000000000000","market_uuid":"2dab8bcf-cfdd-496b-8181-d670568d1daa","market_id":"ETH-USDT","inserted_at":"2018-07-30T12:28:05Z","id":"109006100","filled_amount":"0E-16","avg_deal_price":"0E-16","amount":"1.0000000000000000"}}
2018-08-01 06:57:59 | INFO | 1974 | 5b6159b5b2c82 | 1533106679.240 | tradesMarket 调用成功 ["ETH-USDT",2]
2018-08-01 06:58:00 | INFO | 1974 | 5b6159b5b2c82 | 1533106680.715 | depth 调用成功 "ETH-USDT"
